Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,avg_temp
Albania,Maize,1990,36613,1485.0,16.37
Albania,Potatoes,1990,66667,1485.0,16.37
Albania,Rice,1990,23333,1485.0,16.37
Albania,Sorghum,1990,12500,1485.0,16.37
Albania,Soybeans,1990,7000,1485.0,16.37
Albania,Wheat,1990,30197,1485.0,16.37
Albania,Maize,1991,29068,1485.0,15.36
Albania,Potatoes,1991,77818,1485.0,15.36
Albania,Rice,1991,28538,1485.0,15.36
Albania,Sorghum,1991,6667,1485.0,15.36
Albania,Soybeans,1991,6066,1485.0,15.36
Albania,Wheat,1991,20698,1485.0,15.36
Albania,Maize,1992,24876,1485.0,16.06
Albania,Potatoes,1992,82920,1485.0,16.06
Albania,Rice,1992,40000,1485.0,16.06
Albania,Sorghum,1992,3747,1485.0,16.06
Albania,Soybeans,1992,4507,1485.0,16.06
Albania,Wheat,1992,24388,1485.0,16.06
Albania,Maize,1993,24185,1485.0,16.05
Albania,Potatoes,1993,98446,1485.0,16.05
Albania,Rice,1993,41786,1485.0,16.05
Albania,Soybeans,1993,7998,1485.0,16.05
Albania,Wheat,1993,29976,1485.0,16.05
Albania,Maize,1994,25848,1485.0,16.96
Albania,Potatoes,1994,81404,1485.0,16.96
Albania,Soybeans,1994,7927,1485.0,16.96
Albania,Wheat,1994,24745,1485.0,16.96
Albania,Maize,1995,31300,1485.0,15.67
Albania,Potatoes,1995,111323,1485.0,15.67
Albania,Soybeans,1995,11791,1485.0,15.67
Albania,Wheat,1995,28703,1485.0,15.67
Albania,Maize,1996,32604,1485.0,15.64
Albania,Potatoes,1996,106138,1485.0,15.64
Albania,Soybeans,1996,15480,1485.0,15.64
Albania,Wheat,1996,21741,1485.0,15.64
Albania,Maize,1997,31862,1485.0,15.9
Albania,Potatoes,1997,109874,1485.0,15.9
Albania,Soybeans,1997,12768,1485.0,15.9
Albania,Wheat,1997,28516,1485.0,15.9
Albania,Maize,1998,33416,1485.0,16.27
Albania,Potatoes,1998,127212,1485.0,16.27
Albania,Soybeans,1998,14327,1485.0,16.27
Albania,Wheat,1998,28037,1485.0,16.27
Albania,Maize,1999,37455,1485.0,16.57
Albania,Potatoes,1999,142018,1485.0,16.57
Albania,Soybeans,1999,17143,1485.0,16.57
Albania,Wheat,1999,24954,1485.0,16.57
Algeria,Maize,1990,16500,89.0,17.48
Algeria,Potatoes,1990,78936,89.0,17.48
Algeria,Rice,1990,28000,89.0,17.48
Algeria,Sorghum,1990,16571,89.0,17.48
Algeria,Wheat,1990,6315,89.0,17.48
Algeria,Maize,1991,19231,89.0,16.26
Algeria,Potatoes,1991,90747,89.0,16.26
Algeria,Rice,1991,26786,89.0,16.26
Algeria,Sorghum,1991,24231,89.0,16.26
Algeria,Wheat,1991,10809,89.0,16.26
Algeria,Maize,1992,22828,89.0,16.27
Algeria,Potatoes,1992,107917,89.0,16.27
Algeria,Rice,1992,24733,89.0,16.27
Algeria,Sorghum,1992,40000,89.0,16.27
Algeria,Wheat,1992,9939,89.0,16.27
Algeria,Maize,1993,12500,89.0,17.0
Algeria,Potatoes,1993,111215,89.0,17.0
Algeria,Rice,1993,23111,89.0,17.0
Algeria,Sorghum,1993,50000,89.0,17.0
Algeria,Wheat,1993,8097,89.0,17.0
Algeria,Maize,1994,4512,89.0,17.88
Algeria,Potatoes,1994,95078,89.0,17.88
Algeria,Rice,1994,21374,89.0,17.88
Algeria,Wheat,1994,7999,89.0,17.88
Algeria,Maize,1995,16115,89.0,17.36
